cfg_buy_amount_min,cfg_buy_min_core_hits,cfg_buy_momentum_score_total,cfg_buy_strict_score_total,cfg_enable_buy_momentum,cfg_enable_sell_break_ma5,cfg_enable_sell_market_weak_drop,cfg_enable_sell_time_stop,cfg_enable_sell_trim,cfg_market_score_filter_min_avg,cfg_market_score_filter_min_ma5,cfg_max_single_position,cfg_sell_drawdown_threshold,cfg_sell_drawdown_threshold_mid,cfg_sell_market_drop_threshold,cfg_sell_market_score_threshold,cfg_sell_time_stop_days,error,passed_constraints,run_id,stage_name,status,summary_available_signal_days,summary_avg_holding_days,summary_benchmark_return,summary_buy_count,summary_buy_execution_blocked,summary_buy_execution_blocked_breakdown,summary_end_date,summary_excess_return,summary_final_nav,summary_initial_capital,summary_market_filter_blocked_buy_signals,summary_market_filter_blocked_days,summary_market_score_filter_min_avg,summary_market_score_filter_min_ma5,summary_max_drawdown,summary_run_id,summary_selected_buy_signal_count,summary_sell_count,summary_sell_execution_deferred,summary_sell_execution_deferred_breakdown,summary_signal_count,summary_start_date,summary_total_return,summary_trade_count,summary_win_rate,trial_id
350000000.0,5,66,72,True,False,True,True,False,34,38,0.25,0.04,0.05,-2.0,34,9,,0,188,coarse,completed,114,6.0,0.01845,8,0,{},2026-03-19,-0.026583,991867.045,1000000.0,0,0,34.0,38.0,0.087026,188,8,8,0,{},16,2025-10-09,-0.008133,16,0.25,1
350000000.0,5,68,72,True,False,True,False,False,37,35,0.3,0.06,0.06,-4.0,35,9,,1,189,coarse,completed,114,7.2,0.01845,5,0,{},2026-03-19,-0.009103,1009347.3327,1000000.0,1,1,37.0,35.0,0.088108,189,5,5,0,{},10,2025-10-09,0.009347,10,0.4,2
200000000.0,5,72,72,True,False,False,False,False,37,35,0.3,0.04,0.07,-2.0,35,12,,1,190,coarse,completed,114,15.83,0.01845,6,0,{},2026-03-19,0.034589,1053039.0268,1000000.0,1,1,37.0,35.0,0.081651,190,6,6,0,{},12,2025-10-09,0.053039,12,0.666667,3
350000000.0,4,72,72,True,False,True,False,False,33,34,0.35,0.06,0.06,-3.5,35,10,,0,191,coarse,completed,114,5.71,0.01845,7,0,{},2026-03-19,-0.043397,975052.9585,1000000.0,0,0,33.0,34.0,0.064028,191,9,7,0,{},16,2025-10-09,-0.024947,14,0.285714,4
300000000.0,5,68,76,True,False,True,True,False,36,36,0.25,0.05,0.05,-3.0,36,10,,1,192,coarse,completed,114,6.17,0.01845,6,0,{},2026-03-19,-0.001949,1016501.3111,1000000.0,0,0,36.0,36.0,0.062672,192,6,6,0,{},12,2025-10-09,0.016501,12,0.333333,5
250000000.0,4,68,78,True,False,True,False,False,36,38,0.25,0.06,0.08,-3.0,36,12,,1,193,coarse,completed,114,7.33,0.01845,12,0,{},2026-03-19,0.057783,1076233.043,1000000.0,4,3,36.0,38.0,0.060619,193,19,12,0,{},56,2025-10-09,0.076233,24,0.5,6
200000000.0,5,72,74,True,False,True,True,False,33,34,0.3,0.07,0.08,-2.0,35,12,,1,194,coarse,completed,114,7.62,0.01845,8,0,{},2026-03-19,-0.004098,1014352.3781,1000000.0,0,0,33.0,34.0,0.053575,194,8,8,0,{},16,2025-10-09,0.014352,16,0.5,7
300000000.0,3,72,74,True,False,False,True,False,35,36,0.35,0.05,0.05,-2.0,38,10,,1,195,coarse,completed,114,5.22,0.01845,9,0,{},2026-03-19,-0.008083,1010366.842,1000000.0,0,0,35.0,36.0,0.043262,195,11,9,0,{},20,2025-10-09,0.010367,18,0.333333,8
300000000.0,3,66,78,True,False,True,True,False,37,35,0.3,0.05,0.05,-4.0,37,9,,1,196,coarse,completed,114,9.13,0.01845,15,0,{},2026-03-19,0.035957,1054406.7276,1000000.0,9,6,37.0,35.0,0.089471,196,21,15,6,{'missing': 6},67,2025-10-09,0.054407,30,0.333333,9
350000000.0,5,70,74,True,False,True,True,False,38,36,0.25,0.05,0.07,-3.0,38,11,,1,197,coarse,completed,114,6.25,0.01845,4,0,{},2026-03-19,0.006387,1024837.273,1000000.0,1,1,38.0,36.0,0.062672,197,4,4,0,{},8,2025-10-09,0.024837,8,0.5,10
250000000.0,5,68,72,True,False,True,True,False,33,35,0.25,0.04,0.05,-4.0,33,9,,1,198,coarse,completed,114,8.14,0.01845,7,0,{},2026-03-19,0.012619,1031068.9817,1000000.0,0,0,33.0,35.0,0.049097,198,8,7,0,{},15,2025-10-09,0.031069,14,0.428571,11
350000000.0,3,72,74,True,False,False,False,False,34,37,0.3,0.05,0.05,-2.5,38,8,,0,199,coarse,completed,114,5.25,0.01845,8,0,{},2026-03-19,-0.023038,995412.1713,1000000.0,0,0,34.0,37.0,0.070087,199,9,8,0,{},17,2025-10-09,-0.004588,16,0.25,12
300000000.0,4,66,72,True,False,False,True,False,38,38,0.25,0.05,0.06,-2.5,37,9,,1,200,coarse,completed,114,8.42,0.01845,12,0,{},2026-03-19,0.03227,1050719.7453,1000000.0,7,6,38.0,38.0,0.06043,200,14,12,0,{},55,2025-10-09,0.05072,24,0.416667,13
200000000.0,3,66,78,True,False,False,False,False,34,33,0.25,0.05,0.06,-2.5,36,11,,1,201,coarse,completed,114,13.93,0.01845,17,0,{},2026-03-19,-0.058445,960005.1177,1000000.0,4,3,34.0,33.0,0.129061,201,18,15,12,{'missing': 12},42,2025-10-09,-0.039995,32,0.533333,14
350000000.0,4,72,76,True,False,True,False,False,33,36,0.35,0.07,0.06,-3.5,35,9,,0,202,coarse,completed,114,5.71,0.01845,7,0,{},2026-03-19,-0.043397,975052.9585,1000000.0,0,0,33.0,36.0,0.064028,202,9,7,0,{},16,2025-10-09,-0.024947,14,0.285714,15
200000000.0,5,66,74,True,False,True,True,False,37,36,0.25,0.04,0.05,-4.0,36,9,,1,203,coarse,completed,114,9.0,0.01845,10,0,{},2026-03-19,-0.051874,966576.2432,1000000.0,1,1,37.0,36.0,0.072976,203,13,10,0,{},23,2025-10-09,-0.033424,20,0.4,16
350000000.0,4,68,76,True,False,False,False,False,35,34,0.25,0.06,0.08,-4.0,33,10,,1,204,coarse,completed,114,7.92,0.01845,14,0,{},2026-03-19,0.013521,1031971.106,1000000.0,0,0,35.0,34.0,0.060005,204,15,13,0,{},42,2025-10-09,0.031971,27,0.461538,17
300000000.0,4,68,72,True,False,True,False,False,34,35,0.25,0.07,0.07,-2.0,38,12,,1,205,coarse,completed,114,7.71,0.01845,14,0,{},2026-03-19,0.041154,1059603.8365,1000000.0,1,1,34.0,35.0,0.085611,205,15,14,0,{},42,2025-10-09,0.059604,28,0.357143,18
250000000.0,4,70,74,True,False,True,False,False,33,33,0.35,0.06,0.06,-2.5,37,10,,1,206,coarse,completed,114,9.7,0.01845,10,0,{},2026-03-19,-0.001559,1016890.9423,1000000.0,0,0,33.0,33.0,0.051938,206,13,10,0,{},28,2025-10-09,0.016891,20,0.4,19
300000000.0,5,68,76,True,False,False,False,False,33,33,0.25,0.07,0.08,-4.0,33,12,,1,207,coarse,completed,114,6.33,0.01845,6,0,{},2026-03-19,-0.017634,1000815.8112,1000000.0,0,0,33.0,33.0,0.076382,207,6,6,0,{},12,2025-10-09,0.000816,12,0.333333,20
200000000.0,4,70,72,True,False,False,True,False,36,34,0.3,0.05,0.06,-2.0,35,8,,1,208,coarse,completed,114,8.85,0.01845,13,0,{},2026-03-19,-0.012098,1006351.9945,1000000.0,0,0,36.0,34.0,0.074879,208,17,13,0,{},41,2025-10-09,0.006352,26,0.461538,21
250000000.0,4,70,74,True,False,True,True,False,36,33,0.3,0.05,0.05,-2.5,33,11,,1,209,coarse,completed,114,9.17,0.01845,12,0,{},2026-03-19,-0.001176,1017273.5677,1000000.0,0,0,36.0,33.0,0.062335,209,16,12,6,{'missing': 6},36,2025-10-09,0.017274,24,0.416667,22
300000000.0,4,68,72,True,False,False,False,False,34,34,0.3,0.04,0.07,-2.0,38,10,,1,210,coarse,completed,114,7.86,0.01845,14,0,{},2026-03-19,0.115602,1134052.0083,1000000.0,0,0,34.0,34.0,0.060825,210,16,14,0,{},44,2025-10-09,0.134052,28,0.428571,23
350000000.0,3,66,76,True,False,True,False,False,34,37,0.3,0.06,0.08,-4.0,37,12,,0,211,coarse,completed,114,7.6,0.01845,16,0,{},2026-03-19,-0.084214,934235.8187,1000000.0,7,6,34.0,37.0,0.080719,211,20,15,0,{},69,2025-10-09,-0.065764,31,0.266667,24
200000000.0,4,70,74,True,False,True,False,False,33,37,0.35,0.06,0.07,-3.0,38,8,,1,212,coarse,completed,114,8.13,0.01845,15,0,{},2026-03-19,-0.036373,982076.5044,1000000.0,2,1,33.0,37.0,0.098817,212,15,15,0,{},35,2025-10-09,-0.017923,30,0.466667,25
350000000.0,5,72,74,True,False,False,False,False,37,34,0.35,0.05,0.07,-4.0,37,11,,1,213,coarse,completed,114,6.25,0.01845,4,0,{},2026-03-19,0.017383,1035833.181,1000000.0,1,1,37.0,34.0,0.078492,213,4,4,0,{},8,2025-10-09,0.035833,8,0.5,26
350000000.0,5,68,78,True,False,False,False,False,36,36,0.35,0.05,0.05,-2.0,37,10,,1,214,coarse,completed,114,6.17,0.01845,6,0,{},2026-03-19,0.0056,1024049.9832,1000000.0,0,0,36.0,36.0,0.078492,214,6,6,0,{},12,2025-10-09,0.02405,12,0.333333,27
