cfg_buy_amount_min,cfg_buy_min_core_hits,cfg_buy_momentum_score_total,cfg_buy_strict_score_total,cfg_enable_buy_momentum,cfg_enable_buy_strict,cfg_enable_sell_break_ma5,cfg_enable_sell_drawdown,cfg_enable_sell_flip_loss,cfg_enable_sell_market_weak_drop,cfg_enable_sell_time_stop,cfg_enable_sell_trim,cfg_market_score_filter_min_avg,cfg_market_score_filter_min_ma5,cfg_max_single_position,cfg_sell_drawdown_threshold,cfg_sell_drawdown_threshold_mid,cfg_sell_market_drop_threshold,cfg_sell_market_score_threshold,error,passed_constraints,run_id,stage_name,status,summary_available_signal_days,summary_avg_holding_days,summary_benchmark_return,summary_buy_count,summary_buy_execution_blocked,summary_buy_execution_blocked_breakdown,summary_end_date,summary_excess_return,summary_final_nav,summary_initial_capital,summary_market_filter_blocked_buy_signals,summary_market_filter_blocked_days,summary_market_score_filter_min_avg,summary_market_score_filter_min_ma5,summary_max_drawdown,summary_run_id,summary_selected_buy_signal_count,summary_sell_count,summary_sell_execution_deferred,summary_sell_execution_deferred_breakdown,summary_signal_count,summary_start_date,summary_total_return,summary_trade_count,summary_win_rate,trial_id
350000000.0,1,60,60,True,True,False,True,True,True,True,False,44,39,0.26,0.08,0.09,-2.0,36,,0,266,coarse,completed,114,6.43,0.01845,14,0,{},2026-03-19,-0.096293,922157.4673,1000000.0,77,33,44.0,39.0,0.114127,266,14,14,0,{},87,2025-10-09,-0.077843,28,0.214286,1
250000000.0,3,62,64,True,True,False,True,True,True,False,False,40,37,0.25,0.07,0.05,-3.0,38,,0,267,coarse,completed,114,6.07,0.01845,15,0,{},2026-03-19,-0.027932,990517.7676,1000000.0,39,21,40.0,37.0,0.054311,267,21,15,0,{},110,2025-10-09,-0.009482,30,0.266667,2
400000000.0,2,60,62,True,True,False,True,True,False,False,False,44,36,0.25,0.05,0.05,-3.0,39,,0,268,coarse,completed,114,5.89,0.01845,11,0,{},2026-03-19,-0.157776,860674.0099,1000000.0,70,32,44.0,36.0,0.13996,268,11,9,0,{},72,2025-10-09,-0.139326,20,0.222222,3
300000000.0,2,68,64,True,True,False,True,True,False,True,False,44,43,0.28,0.07,0.07,-2.0,41,严格买入总分阈值不应低于增强买入总分阈值,0,,coarse,skipped,,,,,,,,,,,,,,,,,,,,,,,,,,4
500000000.0,4,62,70,True,True,False,True,True,False,False,False,36,36,0.3,0.07,0.06,-3.5,38,,1,269,coarse,completed,114,10.0,0.01845,15,0,{},2026-03-19,0.112549,1130999.3159,1000000.0,5,5,36.0,36.0,0.124432,269,17,14,7,"{'limit_down': 1, 'missing': 6}",62,2025-10-09,0.130999,29,0.357143,5
300000000.0,2,60,60,True,True,False,True,True,True,False,False,36,45,0.3,0.07,0.09,-2.5,36,,1,270,coarse,completed,114,6.57,0.01845,8,0,{},2026-03-19,-0.064259,954191.1622,1000000.0,140,37,36.0,45.0,0.076664,270,10,7,0,{},84,2025-10-09,-0.045809,15,0.571429,6
400000000.0,1,66,64,True,True,False,True,True,False,True,False,39,39,0.29,0.05,0.09,-3.0,36,严格买入总分阈值不应低于增强买入总分阈值,0,,coarse,skipped,,,,,,,,,,,,,,,,,,,,,,,,,,7
200000000.0,2,64,70,True,True,False,True,True,False,True,False,36,47,0.26,0.08,0.05,-2.5,36,,1,271,coarse,completed,114,18.0,0.01845,4,0,{},2026-03-19,0.029913,1048362.6005,1000000.0,160,36,36.0,47.0,0.064111,271,4,4,0,{},19,2025-10-09,0.048363,8,0.5,8
450000000.0,4,64,66,True,True,False,True,True,False,True,False,43,45,0.28,0.08,0.08,-3.5,36,,1,272,coarse,completed,114,10.78,0.01845,9,0,{},2026-03-19,0.023267,1041717.145,1000000.0,47,16,43.0,45.0,0.053688,272,10,9,0,{},35,2025-10-09,0.041717,18,0.444444,9
450000000.0,1,60,66,True,True,False,True,True,True,True,False,45,33,0.25,0.08,0.06,-2.5,38,,0,273,coarse,completed,114,8.25,0.01845,8,0,{},2026-03-19,-0.039072,979377.7689,1000000.0,84,37,45.0,33.0,0.063656,273,8,8,0,{},55,2025-10-09,-0.020622,16,0.25,10
500000000.0,4,64,72,True,True,False,True,True,True,True,False,36,43,0.28,0.04,0.1,-4.0,41,,0,274,coarse,completed,114,6.2,0.01845,10,0,{},2026-03-19,-0.093149,925300.5067,1000000.0,42,15,36.0,43.0,0.137384,274,13,10,0,{},37,2025-10-09,-0.074699,20,0.2,11
350000000.0,4,64,64,True,True,False,True,True,True,False,False,37,39,0.25,0.07,0.09,-4.0,36,,1,275,coarse,completed,114,7.75,0.01845,13,0,{},2026-03-19,-0.065847,952602.6846,1000000.0,11,10,37.0,39.0,0.092356,275,17,12,0,{},79,2025-10-09,-0.047397,25,0.333333,12
200000000.0,4,62,60,True,True,False,True,True,False,True,False,41,47,0.28,0.06,0.08,-2.5,38,严格买入总分阈值不应低于增强买入总分阈值,0,,coarse,skipped,,,,,,,,,,,,,,,,,,,,,,,,,,13
200000000.0,2,68,74,True,True,False,True,True,True,False,False,35,33,0.29,0.04,0.06,-2.0,36,,1,276,coarse,completed,114,9.57,0.01845,14,0,{},2026-03-19,0.051855,1070305.4266,1000000.0,2,2,35.0,33.0,0.063665,276,19,14,6,{'missing': 6},50,2025-10-09,0.070305,28,0.642857,14
350000000.0,3,64,76,True,True,False,True,True,True,False,False,45,42,0.3,0.06,0.06,-2.5,38,,1,277,coarse,completed,114,13.33,0.01845,6,0,{},2026-03-19,-0.040869,977581.2016,1000000.0,75,28,45.0,42.0,0.095472,277,8,6,0,{},56,2025-10-09,-0.022419,12,0.333333,15
300000000.0,3,68,66,True,True,False,True,True,False,True,False,36,41,0.27,0.04,0.06,-3.0,38,严格买入总分阈值不应低于增强买入总分阈值,0,,coarse,skipped,,,,,,,,,,,,,,,,,,,,,,,,,,16
400000000.0,2,68,62,True,True,False,True,True,True,False,False,36,47,0.27,0.08,0.06,-3.0,41,严格买入总分阈值不应低于增强买入总分阈值,0,,coarse,skipped,,,,,,,,,,,,,,,,,,,,,,,,,,17
