cfg_buy_amount_min,cfg_buy_min_core_hits,cfg_buy_momentum_score_total,cfg_buy_strict_score_total,cfg_enable_buy_momentum,cfg_enable_buy_strict,cfg_enable_sell_break_ma5,cfg_enable_sell_drawdown,cfg_enable_sell_flip_loss,cfg_enable_sell_market_weak_drop,cfg_enable_sell_time_stop,cfg_enable_sell_trim,cfg_market_score_filter_min_avg,cfg_market_score_filter_min_ma5,cfg_max_single_position,cfg_sell_drawdown_threshold,cfg_sell_drawdown_threshold_mid,cfg_sell_market_drop_threshold,cfg_sell_market_score_threshold,error,passed_constraints,run_id,stage_name,status,summary_available_signal_days,summary_avg_holding_days,summary_benchmark_return,summary_buy_count,summary_buy_execution_blocked,summary_buy_execution_blocked_breakdown,summary_end_date,summary_excess_return,summary_final_nav,summary_initial_capital,summary_market_filter_blocked_buy_signals,summary_market_filter_blocked_days,summary_market_score_filter_min_avg,summary_market_score_filter_min_ma5,summary_max_drawdown,summary_run_id,summary_selected_buy_signal_count,summary_sell_count,summary_sell_execution_deferred,summary_sell_execution_deferred_breakdown,summary_signal_count,summary_start_date,summary_total_return,summary_trade_count,summary_win_rate,trial_id
500000000.0,3,60,68,True,True,False,True,True,False,True,False,37,36,0.28,0.07,0.07,-2.5,36,,1,397,coarse,completed,114,12.94,0.01845,16,0,{},2026-03-19,0.097487,1115937.4101,1000000.0,18,16,37.0,36.0,0.111847,397,17,16,13,"{'limit_down': 1, 'missing': 12}",66,2025-10-09,0.115937,32,0.375,1
500000000.0,4,60,70,True,True,False,True,True,False,True,False,36,36,0.28,0.06,0.05,-3.0,37,,1,398,coarse,completed,114,10.44,0.01845,16,0,{},2026-03-19,0.099737,1118186.8052,1000000.0,6,6,36.0,36.0,0.114759,398,17,16,13,"{'limit_down': 1, 'missing': 12}",64,2025-10-09,0.118187,32,0.4375,2
550000000.0,3,60,68,True,True,False,True,True,False,True,False,37,35,0.28,0.05,0.05,-3.0,37,,1,399,coarse,completed,114,10.79,0.01845,14,0,{},2026-03-19,0.090714,1109163.8453,1000000.0,16,14,37.0,35.0,0.121107,399,19,14,7,"{'limit_down': 1, 'missing': 6}",67,2025-10-09,0.109164,28,0.428571,3
550000000.0,3,60,70,True,True,False,True,True,False,True,False,37,37,0.29,0.06,0.07,-2.5,38,,1,400,coarse,completed,114,9.33,0.01845,15,0,{},2026-03-19,0.013085,1031535.4928,1000000.0,17,15,37.0,37.0,0.121299,400,23,15,7,"{'limit_down': 1, 'missing': 6}",87,2025-10-09,0.031535,30,0.333333,4
550000000.0,4,60,72,True,True,False,True,True,False,True,False,35,35,0.3,0.06,0.05,-3.5,37,,1,401,coarse,completed,114,12.38,0.01845,13,0,{},2026-03-19,0.181659,1200108.6725,1000000.0,5,5,35.0,35.0,0.11596,401,17,13,13,"{'limit_down': 1, 'missing': 12}",43,2025-10-09,0.200109,26,0.615385,5
600000000.0,3,60,68,True,True,False,True,True,False,True,False,35,35,0.29,0.07,0.05,-3.0,37,,1,402,coarse,completed,114,10.86,0.01845,15,0,{},2026-03-19,0.157461,1175911.0287,1000000.0,13,11,35.0,35.0,0.123821,402,23,14,13,"{'limit_down': 1, 'missing': 12}",51,2025-10-09,0.175911,29,0.571429,6
600000000.0,4,60,74,True,True,False,True,True,False,True,False,36,35,0.28,0.07,0.05,-3.0,38,,1,403,coarse,completed,114,13.0,0.01845,13,0,{},2026-03-19,0.196642,1215092.0884,1000000.0,5,5,36.0,35.0,0.110606,403,14,13,7,"{'limit_down': 1, 'missing': 6}",34,2025-10-09,0.215092,26,0.615385,7
500000000.0,3,60,72,True,True,False,True,True,False,True,False,35,36,0.3,0.05,0.05,-3.0,38,,1,404,coarse,completed,114,11.27,0.01845,16,0,{},2026-03-19,0.066243,1084692.7572,1000000.0,16,14,35.0,36.0,0.142822,404,21,15,7,"{'limit_down': 1, 'missing': 6}",50,2025-10-09,0.084693,31,0.4,8
600000000.0,4,62,70,True,True,False,True,True,False,True,False,37,37,0.3,0.06,0.06,-3.0,38,,1,405,coarse,completed,114,11.15,0.01845,13,0,{},2026-03-19,0.050093,1068542.6597,1000000.0,6,6,37.0,37.0,0.106862,405,14,13,13,"{'limit_down': 1, 'missing': 12}",37,2025-10-09,0.068543,26,0.461538,9
500000000.0,3,60,68,True,True,False,True,True,False,True,False,35,35,0.29,0.05,0.07,-3.0,36,,1,406,coarse,completed,114,10.33,0.01845,19,0,{},2026-03-19,0.056426,1074876.4129,1000000.0,15,13,35.0,35.0,0.112348,406,24,18,19,"{'limit_down': 1, 'missing': 18}",80,2025-10-09,0.074876,37,0.388889,10
550000000.0,4,62,74,True,True,False,True,True,False,True,False,35,35,0.29,0.07,0.05,-2.5,38,,1,407,coarse,completed,114,12.57,0.01845,14,0,{},2026-03-19,0.12474,1143190.2368,1000000.0,4,4,35.0,35.0,0.110592,407,16,14,7,"{'limit_down': 1, 'missing': 6}",57,2025-10-09,0.14319,28,0.5,11
550000000.0,3,62,70,True,True,False,True,True,False,True,False,37,36,0.29,0.05,0.05,-2.5,37,,1,408,coarse,completed,114,11.07,0.01845,14,0,{},2026-03-19,0.078561,1097011.1229,1000000.0,12,11,37.0,36.0,0.123004,408,17,14,7,"{'limit_down': 1, 'missing': 6}",60,2025-10-09,0.097011,28,0.428571,12
